Topic,Course,CriticalReview,Hours,Difficulty,Notes
Introductory Math,Math 0050,https://thecriticalreview.org/search/MATH/0050/Fall-2012,,3,??
Calculus I,Math 0060,https://thecriticalreview.org/search/MATH/0050/Fall-2012,,3,Math 0050 prereq. Counts as prereq for Math 0100.
Calculus I,Math 0070,https://thecriticalreview.org/search/MATH/0070,,0,For non-science concentrators. Does not count as prereq for Calc II.
Calculus I,Math 0090,https://thecriticalreview.org/search/MATH/0090/Spring-2018,,3,
Calculus II,Math 0100,https://thecriticalreview.org/search/MATH/0100/Fall-2017,,4,??
Calculus II,Math 0190,https://thecriticalreview.org/search/MATH/0190/Fall-2016,,4,??
Calculus III,Math 0180,https://thecriticalreview.org/search/MATH/0180/Spring-2018,4.90-11.86,5,
Calculus III,Math 0200,https://thecriticalreview.org/search/MATH/0180/Spring-2018,4.90-11.86,5,
Calculus III,Math 0350,https://thecriticalreview.org/search/MATH/0180/Spring-2018,4.90-11.86,5,
Linear Algebra,MATH 0520,https://thecriticalreview.org/search/MATH/0520,,2,Computation Based.
Linear Algebra,Math 0540,https://thecriticalreview.org/search/MATH/0540,,3,Proof Based.
Ordinary Differential Equations,APMA 0330,https://thecriticalreview.org/search/APMA/0330,,2,Engineering Focus.
Ordinary Differential Equations,APMA 0350,https://thecriticalreview.org/search/APMA/0350,,4,More theoretical. Difficulty strongly dependent on professor.
Partial Differential Equations,APMA 0340,https://thecriticalreview.org/search/APMA/0340,,2,Engineering Focus.
Partial Differential Equations,APMA 0360,https://thecriticalreview.org/search/APMA/0360,,4,More theoretical. Difficulty strongly dependent on professor.
Statistics,APMA 0650,https://thecriticalreview.org/search/APMA/0650,,1,
Statistics,APMA 1650,https://thecriticalreview.org/search/APMA/1650,,3,
Statistics,APMA 1655,https://thecriticalreview.org/search/APMA/1655,,4,
